Date,M&M,Tata Motors,Axis Bank,SBI,HDFC,IndusInd,Kotak Mahindra,ICICI,HCL,Tech Mahindra,Wipro,Grasim Industries,Cipla,Sun Pharma,Bharti Airtel,ITC
2015-07,-0.104649424,-0.113846584,-0.114646905,-0.084058445,-0.075743328,-0.127032843,-0.062841545,0.02743095,-0.027247695,-0.029583591,0.003420793,5.086668785,-0.037938036,0.096789851,-0.117890998,0.498622034
2015-08,0.035138032,-0.122151959,-0.023830637,-0.041237161,0.040245363,0.10421794,-0.005524069,-0.129853126,0.011430963,0.082232963,0.045559039,-0.844477823,-0.067580495,-0.037250528,-0.085474676,-0.32698806
2015-09,-0.063459463,0.289182868,-0.040855443,-0.000421636,0.028817297,0.023343413,0.06102461,0.024595859,-0.112457373,-0.032654441,-0.041816463,0.055204496,0.085527907,0.024355094,0.101038941,0.017792012
2015-10,0.1536837,0.100142841,-0.01419857,0.048934785,-0.019870841,-0.030276335,0.006834802,-0.012453383,-0.000860388,-0.010572219,-0.005064715,0.007988751,-0.067781863,-0.179922422,-0.101176923,0.034365718
2015-11,-0.068216788,-0.076033086,-0.041715541,-0.097325548,0.004082602,0.036033159,0.040008685,-0.044599141,-0.01819856,-0.022120138,-0.017629665,0.00351426,0.009477163,0.124263227,0.018094852,-0.053014483
2015-12,-0.03073052,-0.068234048,-0.090625721,-0.198485202,-0.029848031,-0.041436631,-0.050621502,-0.119381616,0.012454712,-0.038819187,0.005177131,-0.096195824,-0.099499845,0.064378451,-0.072462501,-0.023181899
2016-01,-0.004175977,-0.178003272,-0.079946118,-0.117565285,-0.07429633,-0.106373804,-0.077823221,-0.174231859,-0.060641063,-0.171220596,-0.075602979,-0.019448989,-0.121261246,-0.021822542,-0.000741621,-0.076672223
2016-02,-0.014168247,0.289956592,0.182035912,0.223622047,0.102176314,0.165783104,0.079711291,0.245194609,0.00104516,0.142943149,0.084574618,0.155215854,-0.00427893,-0.039700226,0.111887006,0.110263756
2016-03,0.09932271,0.056259699,0.063604639,-0.027027027,0.057134809,0.083970651,0.053625209,0.001268941,-0.078368738,0.023581391,-0.017547743,0.063109246,0.048930535,-0.010609771,0.036489075,-0.010053315
2016-04,-0.006499045,0.125627494,0.090601225,0.084391519,0.043758599,0.051484961,0.040995556,0.032496321,-0.013994402,0.111488188,-0.01605241,0.066115263,-0.119832413,-0.059842215,-0.033553979,0.080320216
2016-05,0.081411102,-0.000870214,0.035520162,0.067577488,-0.00461128,0.007933989,0.0225035,-0.016757371,-0.012638519,-0.06403253,0.02291437,0.070852666,0.059980972,0.000458834,0.043824798,0.049424657
2016-06,0.0257352,0.095699536,0.023711385,0.048446028,0.05928854,0.057619692,0.000196534,0.092911133,0.030802929,-0.035195231,-0.023118018,0.049049067,0.052694659,0.087603247,-0.012951765,0.027890842
2016-07,-0.020555667,0.068561207,0.092831548,0.1006975,0.036109775,0.008973697,0.056843515,-0.018640176,0.033999569,-0.039245873,-0.097972515,-0.045918261,0.086367057,-0.065425613,-0.083964514,0.030104936
2016-08,-0.021509136,-0.00530042,-0.092988192,-0.004950495,-0.014211568,0.008219525,-0.037055426,-0.022673658,0.02742282,-0.104415493,-0.025834061,0.035719161,0.012391964,-0.042480514,-0.053219207,-0.071909182
2016-09,-0.066799393,0.004019864,-0.10058185,0.026865672,-0.010841755,0.00321928,0.054504474,0.097959671,-0.045943242,0.037632459,-0.035177048,-0.002078054,-0.008447486,0.000942523,0.01544519,0.00725088
2016-10,-0.096584897,-0.14469276,-0.035017433,0.001356612,-0.047218196,-0.094307402,-0.077988608,-0.040817419,0.053266019,0.113738135,0.006815244,-0.098414509,-0.01486577,-0.045197787,0.018035187,-0.043603479
2016-11,-0.000337545,0.0276508,-0.042353929,-0.031546386,0.974741538,0.019555514,-0.047322787,-0.038598371,0.030044818,0.007625684,0.019774356,-0.008675046,0.003882831,-0.11242602,-0.058381212,0.039354813
2016-12,0.046762916,0.109216076,0.035670602,0.040567582,-0.456857581,0.130111041,0.075656539,0.053466084,-0.020291066,-0.07506644,-0.034673114,0.055404125,0.01151545,0.002380952,0.139213448,0.068073712
2017-01,0.058100193,-0.127590468,0.087231747,0.033992724,0.080402557,0.048360628,0.036104051,0.027513313,0.035690009,0.104378551,0.067248926,0.087473798,0.014512968,0.075217736,0.048678551,0.015885339
2017-02,-0.019243226,0.019923385,-0.031283936,0.089895917,0.037731151,0.085745886,0.087395634,0.001811119,0.04124512,-0.080596717,0.055035444,0.059382654,0.015847181,0.013475735,-0.041354417,0.069031179
2017-03,0.037804043,-0.014918991,0.038406696,-0.012440334,0.072059858,0.013893223,0.034109149,0.005959902,-0.069334123,-0.091908924,-0.041595166,0.101095554,-0.05987014,-0.067136541,0.015568988,-0.008205452
2017-04,0.060948599,0.037589889,0.008633364,-0.005004355,0.058001909,0.024741341,0.071068213,0.172172594,0.0616018,-0.064636074,0.08346108,0,-0.073728649,-0.21863074,0.045148464,0.121582691
2017-05,-0.048237396,-0.091567797,0.006419586,-0.050815104,0.009687139,-0.001181873,-0.010661962,-0.022316773,-0.015446892,-0.020512821,-0.035107308,0.0753653,0.076014335,0.107854875,0.021934704,0.038005152
2017-06,0.040560635,0.027858093,0.004735696,0.141969694,0.080112571,0.112782754,0.068951111,0.042908883,0.0493595,0.01007855,0.116508296,0.112398808,0.008099352,-0.043278725,0.103372617,-0.11864667
