Date,Open,High,Low,Close,Adj Close,Volume
2012-09-01,288.625000,325.450012,281.475006,324.375000,321.946869,24476728
2012-10-01,324.250000,326.250000,273.450012,301.875000,299.615326,25043410
2012-11-01,301.875000,337.500000,298.549988,335.225006,332.715668,18025482
2012-12-01,335.000000,338.500000,320.049988,325.024994,322.591980,20677730
2013-01-01,326.475006,342.399994,308.725006,340.174988,337.628571,51406754
2013-02-01,340.225006,348.600006,324.500000,329.799988,327.331268,22704404
2013-03-01,327.274994,339.424988,312.549988,326.500000,324.055969,26638452
2013-04-01,327.500000,358.250000,307.500000,353.549988,350.903473,20637252
2013-05-01,353.549988,403.674988,350.600006,391.475006,388.544586,24469192
2013-06-01,390.625000,392.850006,341.500000,361.100006,358.396942,26506068
2013-07-01,361.500000,381.149994,311.250000,326.174988,323.733368,37964648
2013-08-01,327.600006,337.500000,294.000000,329.799988,327.988312,62413302
2013-09-01,327.450012,389.500000,295.500000,339.049988,337.187500,49683264
2013-10-01,339.200012,380.899994,333.500000,376.225006,374.158325,36809316
2013-11-01,376.500000,382.350006,354.000000,378.399994,376.321350,22645920
2013-12-01,378.125000,393.950012,357.524994,364.125000,362.124786,23626324
2014-01-01,366.000000,368.875000,322.524994,328.524994,326.720337,30542790
2014-02-01,325.649994,347.000000,315.250000,342.250000,340.369904,27620102
2014-03-01,341.000000,394.000000,332.725006,390.524994,388.379700,36261156
2014-04-01,390.750000,417.299988,375.000000,401.299988,399.095551,29361084
2014-05-01,401.299988,475.500000,398.875000,434.325012,431.939178,38431168
2014-06-01,433.000000,485.975006,426.350006,441.774994,439.348206,33171724
2014-07-01,442.799988,489.799988,423.600006,476.850006,474.230560,83421846
2014-08-01,474.000000,529.974976,459.500000,518.775024,516.853271,38434454
2014-09-01,521.250000,543.299988,498.000000,506.549988,504.673431,31911312
2014-10-01,504.250000,561.125000,490.174988,559.125000,557.053711,38622778
2014-11-01,559.625000,632.349976,520.250000,601.250000,599.022705,52959902
2014-12-01,602.575012,657.750000,595.099976,631.950012,629.608948,40859758
2015-01-01,631.900024,722.000000,616.775024,661.099976,658.650879,63546618
2015-02-01,660.000000,683.000000,618.125000,668.875000,666.397095,45257304
